DATE,PRICE
12/1/10,100
1/1/11,100.7
2/1/11,101.8
3/1/11,102.4
4/1/11,104
5/1/11,104
6/1/11,103.7
7/1/11,103.5
8/1/11,102.2
9/1/11,102.6
10/1/11,100.6
11/1/11,100.1
12/1/11,99.7
1/1/12,98.5
2/1/12,99.2
3/1/12,99.3
4/1/12,99
5/1/12,98.8
6/1/12,97.8
7/1/12,96.6
8/1/12,95.2
9/1/12,94.7
10/1/12,95.2
11/1/12,94.1
12/1/12,93.6
1/1/13,93.7
2/1/13,94.1
3/1/13,94.2
4/1/13,93.8
5/1/13,92
6/1/13,91.5
7/1/13,91.2
8/1/13,90.3
9/1/13,90.2
10/1/13,88.6
11/1/13,89
12/1/13,88.4
1/1/14,88.4
2/1/14,88.7
3/1/14,89.3
4/1/14,92.4
5/1/14,93.7
6/1/14,97.7
7/1/14,98.8
8/1/14,98.5
9/1/14,99
10/1/14,97
11/1/14,97.5
12/1/14,96.2
1/1/15,95.3
2/1/15,94.2
3/1/15,92.9
4/1/15,92.1
5/1/15,92
6/1/15,94.8
7/1/15,92.9
8/1/15,92.2
9/1/15,91.2
10/1/15,89.4
11/1/15,89.4
12/1/15,88.3
1/1/16,85.9
2/1/16,85.2
3/1/16,86
4/1/16,84.7
5/1/16,84.7
6/1/16,83.8
7/1/16,83.8
8/1/16,84.5
9/1/16,84.5
10/1/16,84.3
11/1/16,84.3
12/1/16,84.8
1/1/17,84.8
2/1/17,84.8
3/1/17,84.8
4/1/17,84.8
5/1/17,84.8
6/1/17,84.8
7/1/17,84.8
8/1/17,84.8
9/1/17,84.8
10/1/17,84.8
11/1/17,84.8
12/1/17,91.4
1/1/18,91.6
2/1/18,94.5
3/1/18,102.6
4/1/18,107.5
5/1/18,107.9
6/1/18,110.2
7/1/18,111.1
8/1/18,112.9
9/1/18,112.7
10/1/18,119
11/1/18,116.5
12/1/18,116.5
1/1/19,115.1
2/1/19,114.1
3/1/19,115
4/1/19,112.2
5/1/19,112.8
6/1/19,116.3
7/1/19,116.6
8/1/19,118.8
9/1/19,119.1
10/1/19,120.7
11/1/19,120.8
12/1/19,120.8
1/1/20,118.8
2/1/20,118.6
3/1/20,117.7
4/1/20,117.3
5/1/20,115.8
6/1/20,117.1
7/1/20,113
8/1/20,113.7
9/1/20,117.3
10/1/20,117.7
11/1/20,118.5
12/1/20,119.9
1/1/21,118.4
2/1/21,119.9
3/1/21,120.3
4/1/21,123.3
5/1/21,129.4
6/1/21,129.9
7/1/21,137.539
8/1/21,148.272
9/1/21,148.476
10/1/21,144.798
11/1/21,148.293
12/1/21,152.478
1/1/22,155.572
2/1/22,168.909
3/1/22,173.673
4/1/22,177.145
5/1/22,177.145
6/1/22,170.29
7/1/22,170.29
8/1/22,209.582
9/1/22,203.832
10/1/22,195.142
11/1/22,195.142
12/1/22,195.105
1/1/23,195.105
2/1/23,195.105
3/1/23,195.105
4/1/23,195.105
5/1/23,177.903
6/1/23,175.344
7/1/23,175.3
