DATE,PRICE
3/1/00,186.3
4/1/00,183.8
5/1/00,178.6
6/1/00,177.3
7/1/00,174.5
8/1/00,171.7
9/1/00,172.3
10/1/00,174.4
11/1/00,173.7
12/1/00,172
1/1/01,168.5
2/1/01,167.9
3/1/01,167.7
4/1/01,167.8
5/1/01,179.6
6/1/01,181.4
7/1/01,174
8/1/01,173.3
9/1/01,173.4
10/1/01,169.5
11/1/01,168.8
12/1/01,166.1
1/1/02,170.2
2/1/02,171
3/1/02,173.2
4/1/02,172.8
5/1/02,171.8
6/1/02,168.6
7/1/02,169
8/1/02,170.6
9/1/02,169.8
10/1/02,170
11/1/02,169.6
12/1/02,169.5
1/1/03,169.9
2/1/03,170.2
3/1/03,167.8
4/1/03,167.7
5/1/03,168.4
6/1/03,170.3
7/1/03,174.2
8/1/03,175.1
9/1/03,183.7
10/1/03,182.3
11/1/03,184.1
12/1/03,183.6
1/1/06,202.7
2/1/06,200.5
3/1/06,198.4
4/1/06,195.6
5/1/06,196.5
6/1/06,189.6
7/1/06,185.3
8/1/06,182
9/1/06,179.9
10/1/06,177.1
11/1/06,176.3
12/1/06,177
1/1/07,178.5
2/1/07,176.5
3/1/07,176.5
4/1/07,174.6
5/1/07,172.6
6/1/07,175.6
7/1/07,177.8
8/1/07,175.7
9/1/07,172.6
10/1/07,173.8
11/1/07,171.5
12/1/07,170.4
1/1/08,164.8
2/1/08,161.5
3/1/08,162
4/1/08,160.9
5/1/08,167.4
6/1/08,168.9
7/1/08,165.6
8/1/08,166.1
9/1/08,165.7
10/1/08,161.6
11/1/08,159.9
12/1/08,156.8
1/1/09,152.1
2/1/09,149.3
3/1/09,145.2
4/1/09,143.5
5/1/09,140.7
6/1/09,144.2
7/1/09,149.9
8/1/09,149.9
9/1/09,152
10/1/09,153.9
11/1/09,156.3
12/1/09,158.3
1/1/10,159
2/1/10,166.3
3/1/10,168.6
4/1/10,172.5
5/1/10,177.1
6/1/10,169.4
7/1/10,167.3
8/1/10,164.3
9/1/10,164.6
10/1/10,165.5
11/1/10,167.2
12/1/10,168.5
1/1/14,210.4
2/1/14,213
3/1/14,215.2
4/1/14,213.4
5/1/14,214.1
6/1/14,216.1
7/1/14,217.4
8/1/14,216.3
9/1/14,219.9
10/1/14,215.7
11/1/14,213.8
12/1/14,212.3
1/1/15,211
2/1/15,206.6
3/1/15,202.4
4/1/15,201.1
5/1/15,196.3
6/1/15,197.8
7/1/15,200.9
8/1/15,196.2
9/1/15,192.5
10/1/15,193.8
11/1/15,197.6
12/1/15,195.4
1/1/16,197
2/1/16,194.1
3/1/16,195.4
4/1/16,200.3
5/1/16,200.5
6/1/16,202.5
7/1/16,203.8
8/1/16,204.4
9/1/16,204.5
10/1/16,206.3
11/1/16,206
12/1/16,206.3
1/1/17,204.5
2/1/17,208.3
3/1/17,208.1
4/1/17,215.4
5/1/17,214.7
6/1/17,216.3
7/1/17,219.1
8/1/17,221.2
9/1/17,222.5
10/1/17,225.6
11/1/17,227.9
12/1/17,224.2
1/1/18,222.6
2/1/18,228.1
3/1/18,226.8
4/1/18,235.3
5/1/18,241.5
6/1/18,254.2
7/1/18,253.9
8/1/18,235.6
9/1/18,236.1
10/1/18,222.2
11/1/18,215.9
12/1/18,214.9
1/1/19,207.7
2/1/19,208.2
3/1/19,202.1
4/1/19,209.9
5/1/19,204.5
6/1/19,205.4
7/1/19,214.5
8/1/19,212.3
9/1/19,218.4
10/1/19,216.7
11/1/19,215.7
12/1/19,213.9
1/1/20,207.1
2/1/20,207.1
3/1/20,209.1
4/1/20,201.8
5/1/20,204.4
6/1/20,224.9
7/1/20,247.2
8/1/20,275.5
9/1/20,336.5
10/1/20,315.6
11/1/20,274.6
12/1/20,297.6
1/1/21,324.9
2/1/21,328.6
3/1/21,341.1
4/1/21,384.1
5/1/21,443.9
6/1/21,444
7/1/21,343.07
8/1/21,287.801
9/1/21,284.64
10/1/21,299.146
11/1/21,309.766
12/1/21,353.91
1/1/22,398.366
2/1/22,403.765
3/1/22,414.781
4/1/22,378.311
