DATE,PRICE
4/1/74,81.5
5/1/74,77.3
6/1/74,70.2
7/1/74,69.4
8/1/74,66.9
9/1/74,68.1
10/1/74,63.4
11/1/74,63.7
12/1/74,64.2
1/1/75,63.1
2/1/75,67.9
3/1/75,67.5
4/1/75,71.1
5/1/75,74.4
6/1/75,69.9
7/1/75,69.4
8/1/75,68.3
9/1/75,69.8
10/1/75,68.6
11/1/75,70.2
12/1/75,73.1
1/1/76,77.9
2/1/76,79.2
3/1/76,79.8
4/1/76,79.7
5/1/76,78.8
6/1/76,76.1
7/1/76,78
8/1/76,80.8
9/1/76,82.5
10/1/76,82
11/1/76,83.8
12/1/76,88.4
1/1/77,88.2
2/1/77,88.2
3/1/77,89.6
4/1/77,87.3
5/1/77,86.2
6/1/77,87.3
7/1/77,91.3
8/1/77,94.7
9/1/77,99.3
10/1/77,95.5
11/1/77,92
12/1/77,97.3
1/1/78,99.9
2/1/78,100.5
3/1/78,97.5
4/1/78,94.9
5/1/78,98.4
6/1/78,101.7
7/1/78,99.7
8/1/78,104.5
9/1/78,102.6
10/1/78,103.5
11/1/78,107.7
12/1/78,107.3
1/1/79,110.9
2/1/79,110.8
3/1/79,109.7
4/1/79,108.7
5/1/79,107.4
6/1/79,102.8
7/1/79,107.6
8/1/79,109.6
9/1/79,111.1
10/1/79,109.4
11/1/79,104.3
12/1/79,102.5
1/1/80,102.6
2/1/80,104.9
3/1/80,103.4
4/1/80,94.7
5/1/80,99.4
6/1/80,104.1
7/1/80,108.9
8/1/80,114.6
9/1/80,108.8
10/1/80,109
11/1/80,110.6
12/1/80,113.5
1/1/81,108.2
2/1/81,108.2
3/1/81,107.2
4/1/81,110.3
5/1/81,107
6/1/81,108.4
7/1/81,106.7
8/1/81,105.8
9/1/81,103.8
10/1/81,100.9
11/1/81,100.6
12/1/81,103.3
1/1/82,102.3
2/1/82,101.3
3/1/82,101.9
4/1/82,100.8
5/1/82,99.3
6/1/82,103
7/1/82,100.1
8/1/82,98.7
9/1/82,98.4
10/1/82,96.5
11/1/82,98.2
12/1/82,99.6
1/1/83,101.4
2/1/83,103.2
3/1/83,102.9
4/1/83,103.1
5/1/83,103.9
6/1/83,110.1
7/1/83,108.8
8/1/83,106.1
9/1/83,104.3
10/1/83,106.2
11/1/83,105.4
12/1/83,106.5
1/1/84,106.9
2/1/84,107.5
